id,class,description,image
"1","R2 MK2","Full Droid","https://vignette.wikia.nocookie.net/starwars/images/e/eb/ArtooTFA2-Fathead.png/"
"2","R2 MK3","Full Droid","https://vignette.wikia.nocookie.net/starwars/images/e/eb/ArtooTFA2-Fathead.png/"
"3","R7 MK3","Body Only","/img/R7Body.png"
"4","R4 MK2","Dome Only","/img/R4Dome.png"
"5","R5 MK2","Dome Only","/img/R5Dome.png"
"6","R6 MK2","Dome Only","/img/R6Dome.png"
"7","R4 MK3","Dome Only","/img/R4Dome.png"
"8","R5 MK3","Dome Only","/img/R5Dome.png"
"9","R6 MK3","Dome Only","/img/R6Dome.png"
"12","BD-1","Full Droid","https://vignette.wikia.nocookie.net/starwars/images/e/e7/BD-1_AG.png/"
"13","BT-1","Dome Only","/img/BT1Dome.png"
"14","R0","Dome Only","/img/R0Dome.png"
"15","R7 MK2","Dome Only","/img/R7Dome.png"
"16","R9 MK2","Dome Only","/img/R9Dome.png"
"17","R7 MK3","Dome Only","/img/R7Dome.png"
"19","D-O V2","Full Droid","/img/DO.png"
"20","Custom","Your Custom Droid","/img/custom.png"
"21","EY3B","Microdroid","/img/EY-3B.png"
"22","Punchbot","Microdroid","/img/Punch bot.png"
"23","Sumo","Microdroid","/img/SUMO1.png"
"24","T3DO","Microdroid","/img/T3DO.png"
"25","Chopper","Full Droid","/img/Chopper.jpg"